Reference,SuppliersPartNumber,Qty,DNP
"C1,C2,C3,C7,C9",C14663,5,
"C4,C5",C1653,2,
"C6,C8",C19702,2,
"C10,C11,C12",C57112,3,
D1,C8678,1,
D4,C84263,1,
J1,C111617,1,
J2,C2689690,1,
J3,C111617,1,
J4,C111617,1,
J5,C709357,1,
J6,C49257,1,
"J7,J8,J9",C3012193,3,
J10,C49257,1,
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9",C344010,9,
"R1,R4,R9,R11,R15,R20,R23,R28,R31,R37,R38,R40,R43",C25804,13,
"R2,R3,R26",C25803,3,
"R5,R6,R27",C22967,3,
"R7,R8",C22978,2,
"R10,R12,R14,R16,R17,R21,R22,R24,R25,R29,R30,R32,R33,R39,R41,R42,R44,R45",C4190,18,
"R13,R18",C23186,2,
R19,C21190,1,
"R34,R35,R36",C22935,3,
"RN1,RN2,RN3,RN4,RN5,RN6",C54832,6,
"SW1,SW2,SW3,SW4",C318938,4,
U1,C14267,1,
U2,C347222,1,
X1,C14871,1,
