pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
37.5,-23.0,0.0,top,C1,,,C0603,104,tht
31.0,-20.0,90.0,top,C10,,,C0603,103,tht
59.75,-31.0,90.0,top,C11,,,C0603,103,tht
61.5,-31.0,90.0,top,C12,,,C0603,103,tht
34.0,-23.0,180.0,top,C2,,,C0603,104,tht
93.4,-10.4,180.0,bottom,C3,,,C0603,104,tht
83.4625,-10.0,-90.0,bottom,C4,,,C0603,22P,tht
83.4625,-17.2,90.0,bottom,C5,,,C0603,22P,tht
96.1,-11.8,0.0,top,C6,,,C0603,106,tht
96.1,-13.7,0.0,top,C7,,,C0603,104,tht
84.3,-11.9,180.0,top,C8,,,C0603,106,tht
84.3,-13.8,180.0,top,C9,,,C0603,104,tht
80.5,-5.5,90.0,bottom,D1,,,DO-214AC_L4.3-W2.7-LS5.3-RD,SS34,tht
88.0,-21.753,90.0,top,D4,,,LED0603-FD,LED,tht
73.0,-28.1,0.0,top,J1,,,HDMI-SMD_HDMI-019S,HDMI0-OUT,tht
94.0,-2.0,0.0,top,J10,,,HDR-TH_3P-P2.54-V-M-1,SERIAL,tht
35.476,-29.4125,90.0,bottom,J2,,,AUDIO-TH_PJ-3200,PJ-3200,tht
48.0,-28.1,0.0,top,J3,,,HDMI-SMD_HDMI-019S,HDMI1-OUT,tht
23.0,-28.1,0.0,top,J4,,,HDMI-SMD_HDMI-019S,HDMI2-OUT,tht
94.9565,-28.0,90.0,top,J5,,,USB-C-SMD_KH-TYPE-C-16P,KH-TYPE-C-16P,tht
94.0,-6.0,0.0,top,J6,,,HDR-TH_3P-P2.54-V-M-1,POWER_O,tht
26.07,-3.26,-90.0,top,J7,,,EBAZEXT-DAT,DATA3,tht
49.62,-3.26,-90.0,top,J8,,,EBAZEXT-DAT,DATA2,tht
73.12,-3.26,-90.0,top,J9,,,EBAZEXT-DAT,DATA1,tht
2.0,-13.81,-90.0,top,P1,,,HDR-TH_8P-P2.54-V-F-1,Header-Female-2.54_1x8,tht
64.5,-15.0,180.0,bottom,Q1,,,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,AO3400,tht
64.5,-10.5,180.0,bottom,Q2,,,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,AO3400,tht
39.5,-17.0,180.0,bottom,Q3,,,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,AO3400,tht
39.5,-12.0,180.0,bottom,Q4,,,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,AO3400,tht
12.5,-19.5,180.0,bottom,Q5,,,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,AO3400,tht
12.5,-14.5,180.0,bottom,Q6,,,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,AO3400,tht
64.5,-20.0,180.0,bottom,Q7,,,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,AO3400,tht
39.5,-21.5,180.0,bottom,Q8,,,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,AO3400,tht
9.0,-28.0,-90.0,bottom,Q9,,,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,AO3400,tht
8.0,-7.5,0.0,top,R1,,,R0603,10K,tht
60.5,-19.0,0.0,bottom,R10,,,R0603,2K2,tht
60.5,-16.0,0.0,bottom,R11,,,R0603,10K,tht
60.5,-14.0,0.0,bottom,R12,,,R0603,2K2,tht
89.0,-30.0,180.0,top,R13,,,R0603,5K1,tht
68.5,-15.0,180.0,bottom,R14,,,R0603,2K2,tht
60.5,-11.5,0.0,bottom,R15,,,R0603,10K,tht
60.5,-9.5,0.0,bottom,R16,,,R0603,2K2,tht
68.5,-10.5,180.0,bottom,R17,,,R0603,2K2,tht
89.0,-25.5,180.0,top,R18,,,R0603,5K1,tht
90.0,-21.753,-90.0,top,R19,,,R0603,1K,tht
42.5,-21.5,180.0,top,R2,,,R0603,100K,tht
35.0,-18.0,0.0,bottom,R20,,,R0603,10K,tht
35.0,-16.0,0.0,bottom,R21,,,R0603,2K2,tht
43.5,-17.0,180.0,bottom,R22,,,R0603,2K2,tht
35.0,-13.0,0.0,bottom,R23,,,R0603,10K,tht
35.0,-11.0,0.0,bottom,R24,,,R0603,2K2,tht
43.5,-12.0,180.0,bottom,R25,,,R0603,2K2,tht
16.5,-22.0,180.0,top,R26,,,R0603,100K,tht
13.5,-7.5,180.0,top,R27,,,R0603,27K,tht
8.0,-20.5,0.0,bottom,R28,,,R0603,10K,tht
8.0,-18.5,0.0,bottom,R29,,,R0603,2K2,tht
67.5,-21.8,180.0,top,R3,,,R0603,100K,tht
17.0,-19.5,180.0,bottom,R30,,,R0603,2K2,tht
8.0,-15.5,0.0,bottom,R31,,,R0603,10K,tht
8.0,-13.5,0.0,bottom,R32,,,R0603,2K2,tht
17.0,-14.5,180.0,bottom,R33,,,R0603,2K2,tht
33.0,-20.0,-90.0,top,R34,,,R0603,1M,tht
58.0,-31.0,-90.0,top,R35,,,R0603,1M,tht
63.25,-31.0,-90.0,top,R36,,,R0603,1M,tht
8.0,-13.5,0.0,top,R37,,,R0603,10K,tht
8.0,-11.5,180.0,top,R38,,,R0603,10K,tht
68.5,-20.0,180.0,bottom,R39,,,R0603,2K2,tht
8.0,-9.5,0.0,top,R4,,,R0603,10K,tht
35.0,-22.5,0.0,bottom,R40,,,R0603,10K,tht
35.0,-20.5,0.0,bottom,R41,,,R0603,2K2,tht
43.5,-21.5,180.0,bottom,R42,,,R0603,2K2,tht
10.0,-32.5,90.0,bottom,R43,,,R0603,10K,tht
8.0,-32.5,90.0,bottom,R44,,,R0603,2K2,tht
9.0,-24.0,-90.0,bottom,R45,,,R0603,2K2,tht
42.0,-7.5,180.0,bottom,R5,,,R0603,27K,tht
61.2,-9.5,180.0,top,R6,,,R0603,27K,tht
37.203,-20.0,-90.0,top,R7,,,R0603,3K3,tht
35.0,-20.0,-90.0,top,R8,,,R0603,3K3,tht
60.5,-21.0,0.0,bottom,R9,,,R0603,10K,tht
73.4,-16.0,180.0,bottom,RN1,,,RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,49.9R,tht
77.4,-16.0,180.0,bottom,RN2,,,RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,49.9R,tht
48.0,-16.0,0.0,bottom,RN3,,,RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,49.9R,tht
52.0,-16.0,0.0,bottom,RN4,,,RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,49.9R,tht
22.3,-16.0,0.0,bottom,RN5,,,RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,49.9R,tht
26.25,-16.0,0.0,bottom,RN6,,,RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,49.9R,tht
9.0,-18.0,0.0,top,SW1,,,SW-SMD_L6.0-W3.3-LS8.0,KEY,tht
9.0,-23.0,0.0,top,SW2,,,SW-SMD_L6.0-W3.3-LS8.0,KEY,tht
9.0,-28.0,0.0,top,SW3,,,SW-SMD_L6.0-W3.3-LS8.0,KEY,tht
9.0,-33.0,0.0,top,SW4,,,SW-SMD_L6.0-W3.3-LS8.0,KEY,tht
94.5,-17.5,90.0,bottom,U1,,,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,CH340G,tht
90.2,-14.9,-90.0,top,U2,,,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,AMS1117-3.3,tht
87.4625,-13.5,-90.0,bottom,X1,,,HC-49S_L11.4-W4.8,12MHz,tht
